DevelopmentStatus,DevelopmentPriceRange,DevelopmentName,DevelopmentDescription,BuilderName,PrimaryListingAddress,DevelopmentCityorNeighborhood,DevelopmentURL,DevelopmentImageURL,DevelopmentVideoURL(ifapplicable),BuilderSlugURL(forNanSite),BuilderSlogan,BuilderDescription,BuilderVideoURL,SingleDevelopmentBedrooms,SingleDevelopmentBathrooms,SingleDevelopmentTotalAreainSqft,SingleDevelopmentStatus,SingleDevelopmentAddress,SingleDevelopmentCity,SingleDevelopmentZip,SingleDevelopmentStartingPricePoint,SingleDevelopmentImage1URL,SingleDevelopmentImage2URL,SingleDevelopmentImage3URL,SingleDevelopmentImage4URL,SingleDevelopmentImage5URL,SingleDevelopmentImage6URL,SingleDevelopmentListingAgent,SingleDevelopmentAgentTitle,SingleDevelopmentAgentImageURL,SingleDevelopmentURLSlug,SingleDevelopmentLat,SingleDevelopmentLong
Current,$200k - $500k,Lakes of Bella Terra,,Sitterle Homes,"11902 Peonia Lane, 24642 Bardona Way",Richmond,,https://photos.harstatic.com/183131539/hr/img-1.jpeg,,sitterle-homes,,,,,,,,,,,,,,,,,,,,,lakes-of-bella-terra,,
Current,$500k - $1MM,Artavia,"Find your new home in the community of Artavia by J. Patrick homes. Artavia is a vibrant community with many upscale amenities such as discovery ponds, meditation gardens, and more! This stunning new home has 4 bedrooms & 4.5 baths. With amenities such as a game room, media room and a four car garage, this home is a must-see! The gorgeous kitchen is complete with an island with a farmhouse style sink, bar seating, and all new appliances. Overlooking the kitchen is the spacious dining room which features stunning wooden floors. The spa-like master bath has his and hers sinks, a standing shower and a luxurious alcove tub. Other amenities of this home include large walk in closets, a gorgeous staircase, and an outdoor patio and kitchen. The Nan new home team can assist the J. Patrick client with seller assistant programs, and guaranteed buyout. We are here to make your home buying process as seamless as possible. Come experience for yourself what the community of Artavia has to offer!",J Patrick,"17402 Orchid Falls Lane, 17353 Amaryllis Lane",Conroe,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/237951/Natalie_-_17402_Orchid_Falls_Ln-48.jpg,,j-patrick,,,,,,,,,,,,,,,,,,,,,artavia,,
Sold,$200k - $500k,ESTATES OF HIGHLAND HEIGHTS,"Estates of Highland Heights is ready to show now! Experience a neighborhood feel, with new construction 2-story single-family homes including 3 bedrooms, 2.5 bathrooms,and large backyards all within a gated community. Open concept floor plans mapped with multi-functional rooms designed to suit any lifestyle...",Reme Homes,"2613, 2403, 2017, 2117, 2115, 2019, 2113 PAUL QUINN, HIGHLAND HEIGHTS",Highland Heights,https://www.nanproperties.com/our-developments-page/estate-of-highland-heights,https://i.ibb.co/sQRnpLJ/preview-full-2.jpg,,reme-homes,,,,,,,,,,,,,,,,,,,,,estates-of-highland-heights,,
Sold,$500k - $1MM,Harpers Preserve,"Find yourself at home in this new construction 4 bedroom fortress! With its Meadowlark floorplan, you are given the absolute best space, perfect for large families and ready for move-in January 2020. This home includes a media room, game room, and a 4 car garage! Throughout the home, you’ll find tile, wood, and carpet flooring to compliment the beautiful finishes and light fixtures. Walking through the kitchen you’ll find nothing less than deluxe appliances and countertops. Burrowed in Harper’s Preserve, you will find the community offers amazing amenities for all families to enjoy such as a pool, playground, picnic area, and a scenic lake! J. Patrick Homes brings you this home. The community is zoned to Conroe ISD and offers easy access to major highways. Schedule a tour and make your way to this divine community to find your new forever home!",J Patrick,10418 Lake Palmetto Drive,Conroe,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/237952/content_AK3_4973-HDR.jpg,,j-patrick,,,,,,,,,,,,,,,,,,,,,harpers-preserve,,
Sold,Over $1MM,2211 Inwood Drive,"Montage Builders presents a River Oaks masterpiece by J.D. Bartell. 2211 Inwood's English Regency-style exterior pairs perfectly with today's architectural design, while its manicured lawn respects the neighborhood and history of River Oaks. The attention to detail and...",Montage Builders,"2211 Inwood Dr., River Oaks",River Oaks,https://www.nanproperties.com/real-estate/2211-inwood-drive-houston-tx-77019/43543068/76307895,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200341/2211-inwood.jpg,,montage-builders,,,,,,,,,,,,,,,,,,,,,2211-inwood-drive,,
Sold,$200k - $500k,CHATEUX ON THE BISTROP,"IKLO Homes presents an elegant and beautiful home located in the University area, this new construction home offers top luxury finishes. Centrally located, you are placed just a few minutes away from the Downtown & Museum District. This home offers a living space with an open concept floor plan that also includes a formal dining room...",IKLO Homes,"2303, 2307, 2305 BERRY ST, UNIVERSITY AREA",University Area,https://www.nanproperties.com/our-developments-page/chateux-on-the-bistro,https://i.ibb.co/mJD2BdB/preview-full-4.jpg,,iklo-homes,,,,,,,,,,,,,,,,,,,,,chateux-on-the-bistrop,,
Sold,,Somerset Townhomes,Gorgeous new construction home built by Coventry Homes. This 4 story property is situated inside a guard-gated community that is fit for those seeking a walkable lifestyle.,Coventry Homes,"3619 Somerset York, Timbergrove/Lazybrook",Timbergrove,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200344/3619-somerset.jpg,,coventry-homes,,,,,,,,,,,,,,,,,,,,,somerset-townhomes,,
Sold,,Neumann Oaks,"Owning a smart home has become one of the most significant new trends in today’s tech-driven society. Home automation not only adds that ""wow factor"" to your living experience but also makes life a lot more convenient and more fun.",Lennar Homes,"5003 Lehman Oaks Dr., Independence Heights",Independence Heights,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200398/Neumann-Oaks.jpg,https://www.youtube.com/watch?v=SQvB9KmfBII,lennar-homes,We build new dream homes.,"Lennar is the leading builder of quality new homes in the most desirable real estate markets across the nation. Our home plans demonstrate our commitment to our customers by showcasing outstanding new home construction and a dedication to excellence in homebuilding. Every new home for sale offers the simplicity of included options featured in our model homes and inventory homes. The prices of our homes, included features and available locations are subject to change without notice. Stated dimensions and square footage are approximate and should not be used a representation of the home's precise or actual size. Please see the actual purchase agreement for additional information, disclosures and disclaimers relating to the home and it's features.",SQvB9KmfBII,,,,,,,,,,,,,,,,,,neumann-oaks,,
Sold,,Hyde Park Courtyards,"Last one available! Montage Builders presents an elegant masterpiece with renowned architect, JD Bartell! Located in the highly desired Hyde Park subdivision of Montrose, this new construction home offers over the top luxury finishes.",Montage Builders,"1527 Vermont st., montrose",Montrose,,https://i.ibb.co/YLWdkgd/preview-full-Montage-Buidlers-1527-Vermont-St-45.jpg,,montage-builders,,,,,,,,,,,,,,,,,,,,,hyde-park-courtyards,,
Sold,,Regency West,"Montage Builders and renowned Designer J.D. Bartell bring you an amazing luxury masterpiece outfitted with high-end finishes. Entry floors are stone imported from Italy. Wood flooring throughout the home is 6"" select white oak. The main level displays a versatile family/dining room with a lot of natural light. Kitchen is outfitted with high-end appliances. Elevator, Home automation, and en-suite bathrooms.",Montage Builders,"1244 W pierce, 1415 & 1417 hazel",Rosemont Heights,,https://i.ibb.co/TgMdR4D/preview-full-11.jpg,,montage-builders,,,,,,,,,,,,,,,,,,,,,regency-west,,
Sold,,2240 Del Monte Drive,"Al Ross Luxury Homes are handcrafted one-of-a-kind property masterpieces in Houston's luxurious River Oaks area. Inside these custom homes, every single detail matters to this extraordinary builder. Al Ross has a longstanding reputation for his meticulously planned homes.",Al Ross Luxury Homes,"2240 Del Monte Dr., River Oaks",River Oaks,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200392/2240-Del-Monte.jpg,,al-ross-luxury-homes,,,,,,,,,,,,,,,,,,,,,2240-del-monte-drive,,
Sold,,2414 Inwood Drive,"This River Oaks French contemporary is an incredible marriage of elegance & technology. Open concept with delineated spaces, this home lends itself to entertaining. Formal living and study grace either side of the entry.",--,"2414 Inwood Dr., River Oaks",River Oaks,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200365/2414-inwood.jpg,,,,,,,,,,,,,,,,,,,,,,,2414-inwood-drive,,
Sold,,3615 Meadow Lake Lane,"Al Ross Luxury Homes are handcrafted one-of-a-kind property masterpieces in Houston's luxurious River Oaks area. Inside these custom homes, every single detail matters to this extraordinary builder. Al Ross has a longstanding reputation for his meticulously planned homes.",Al Ross Luxury Homes,"3615 Meadow Lake Lane, River Oaks",River Oaks,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200476/Photo_3615_Meadow_Lake.jpg,,al-ross-luxury-homes,,,,,,,,,,,,,,,,,,,,,3615-meadow-lake-lane,,
Sold,,7 West Lane,"Al Ross Luxury Homes are handcrafted one-of-a-kind property masterpieces in Houston's luxurious River Oaks area. Inside these custom homes, every single detail matters to this extraordinary builder. Al Ross has a longstanding reputation for his meticulously planned homes.",Al Ross Luxury Homes,"7 West Lane, River Oaks",River Oaks,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200390/7-West-Lane.jpg,,al-ross-luxury-homes,,,,,,,,,,,,,,,,,,,,,7-west-lane,,
Sold,,Kensington,"Carnegie Homes has over 30 years of combined experience and offers a superior level of expertise to all of our homes. Our goal at Carnegie Homes is to meet and exceed your expectations. Whether you are looking for a traditional home in the suburbs, or crave a more contempo.",Carnegie Homes,"1343 Peden St., Montrose",Montrose,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200394/Kensington.jpg,,carnegie-homes,,,,,,,,,,,,,,,,,,,,,kensington,,
Sold,,1709 Ebony Lane,"Situated on a manicured lot in the desirable Oak Forest, this newly constructed masterpiece combines sophisticated luxury with innovative functionality for today’s lifestyle.",--,"1709 Ebony Ln., Oak Forest",Oak Forest,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200366/1709-ebony.jpg,,,,,,,,,,,,,,,,,,,,,,,1709-ebony-lane,,
Sold,,803 & 805 Kipling,"Sanctuary Builders builds quality homes and communities with thoughtful design, community mindfulness, and environmental stewardship. Unwavering in this commitment, Sanctuary Builders creates living spaces with aesthetics, function, and efficiency.",Sanctuary Builders,"803 & 805 Kipling St., Montrose",Montrose,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200396/Kipling.jpg,,sanctuary-builders,,,,,,,,,,,,,,,,,,,,,803-805-kipling,,
Sold,,Oaks on Caroline,"Our friends at Urban Flats Builder take pride in crafting contemporary mid-rise flats and townhomes anchored on some of the most coveted corners in Houston real estate. The approach is simple – to provide you with an affordable, yet stylishly functional home.",Urban Flats Builder,"4820 Caroline St., Rice/Museum District",Museum District,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200367/4820-caroline.jpg,,urban-flats-builder,,,,,,,,,,,,,,,,,,,,,oaks-on-caroline,,
Sold,,5658 Terwilliger Way,"Mc2 Architects is a designer/builder bringing a design to reality with consistent vision and oversight located in Houston, Texas at 5600 Rose Street. Direct design execution by the firm helps realize the project vision.",MC2 Architects,"5658 Terwilliger Way, Galleria",Galleria,,https://b386363e680359b5cc19-97ec1140354919029c7985d2568f0e82.ssl.cf1.rackcdn.com/ckeditor_assets/pictures/root/developments/200399/Terwillger.jpg,,mc2-architects,,,,,,,,,,,,,,,,,,,,,5658-terwilliger-way,,
